,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.3920194,3.2037806,113.0,state,fb-survey
1,al,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,19.4994943,1.8392737,464.012,state,fb-survey
2,ar,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,15.5763479,2.1039358,297.0741,state,fb-survey
3,az,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,12.3057156,1.3440028,597.4173,state,fb-survey
4,ca,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,12.1421738,0.6330344,2662.0873,state,fb-survey
5,co,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,14.7479532,1.4904711,565.9648,state,fb-survey
6,ct,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,6.4809381,1.1579766,452.0,state,fb-survey
7,de,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,21.9190266,3.4474819,144.0,state,fb-survey
8,fl,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,10.3115794,0.6743034,2033.9998,state,fb-survey
9,ga,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.4846003,1.1467816,772.989,state,fb-survey
10,hi,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,8.4542988,2.6894649,107.0,state,fb-survey
11,ia,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.4716267,1.5333093,431.9644,state,fb-survey
12,id,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.9894199,2.2972037,228.0093,state,fb-survey
13,il,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.8844039,0.9171289,1245.0002,state,fb-survey
14,in,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,14.7874725,1.3445668,696.9998,state,fb-survey
15,ks,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,9.6420419,1.6008334,339.972,state,fb-survey
16,ky,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,9.6725671,1.3619776,471.0006,state,fb-survey
17,la,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.9610257,1.5297323,450.0,state,fb-survey
18,ma,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,14.3615777,1.4926757,552.001,state,fb-survey
19,md,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,8.8254328,1.2597984,506.9996,state,fb-survey
20,me,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,12.1808085,2.1708002,227.0,state,fb-survey
21,mi,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,14.1659673,0.9427795,1367.998,state,fb-survey
22,mn,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.8036704,1.3674335,556.7435,state,fb-survey
23,mo,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,12.3472422,1.3442531,598.9264,state,fb-survey
24,ms,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,16.5265656,2.1874296,288.312,state,fb-survey
25,mt,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.7050321,2.5725441,178.7063,state,fb-survey
26,nc,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.9760516,0.9949059,1065.0022,state,fb-survey
27,ne,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,15.1893069,2.59718,190.9785,state,fb-survey
28,nh,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,12.1271297,2.3558943,192.0,state,fb-survey
29,nj,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.4270633,1.3301451,656.9997,state,fb-survey
30,nm,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,16.2257788,1.9804217,346.5777,state,fb-survey
31,nv,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,14.3897538,2.1646305,262.9127,state,fb-survey
32,ny,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.3000501,0.8689934,1527.0006,state,fb-survey
33,oh,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,15.1397718,1.0524038,1160.0019,state,fb-survey
34,ok,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,16.1095143,1.7386663,447.0568,state,fb-survey
35,or,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,16.3080294,1.663856,493.0078,state,fb-survey
36,pa,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.0422224,0.9244734,1327.0007,state,fb-survey
37,ri,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,12.8477449,3.1068883,115.999,state,fb-survey
38,sc,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.2616639,1.3857698,599.0001,state,fb-survey
39,sd,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.6101606,2.9331034,119.285,state,fb-survey
40,tn,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,12.604652,1.3318765,620.9995,state,fb-survey
41,tx,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.5062002,0.6766351,2224.0046,state,fb-survey
42,ut,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,13.3235701,1.9268827,311.0363,state,fb-survey
43,va,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.1260609,1.045474,904.6683,state,fb-survey
44,wa,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,15.45149,1.2747124,803.9923,state,fb-survey
45,wi,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,14.0708434,1.4021449,614.9997,state,fb-survey
46,wv,smoothed_wdepressed_7d,2021-03-02,2021-03-17,15,11.7914304,2.0314008,252.0496,state,fb-survey
47,ak,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,19.0273648,2.7150968,209.0,state,fb-survey
48,al,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,17.1933587,1.2528648,907.0213,state,fb-survey
49,ar,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,16.3394984,1.5180914,593.1484,state,fb-survey
50,az,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,11.7697693,0.9235938,1217.3722,state,fb-survey
51,ca,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.4239632,0.4515132,5337.0903,state,fb-survey
52,co,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,14.2266723,1.0165055,1180.9625,state,fb-survey
53,ct,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,6.580258,0.816536,922.0,state,fb-survey
54,de,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,15.3627845,2.1030131,294.0,state,fb-survey
55,fl,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,10.4597813,0.4790569,4081.0002,state,fb-survey
56,ga,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,11.2687696,0.8094723,1525.9805,state,fb-survey
57,hi,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,7.9798065,1.8395343,217.0,state,fb-survey
58,ia,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.8354283,1.1653953,823.7659,state,fb-survey
59,id,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.8718642,1.5786448,450.0192,state,fb-survey
60,il,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,11.5327063,0.6359139,2523.0003,state,fb-survey
61,in,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.8788147,0.9306615,1379.9994,state,fb-survey
62,ks,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.3866126,1.2652432,677.9146,state,fb-survey
63,ky,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.6927122,1.1272701,929.9958,state,fb-survey
64,la,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.2617114,1.1585503,856.9997,state,fb-survey
65,ma,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.7147531,1.0161769,1146.0035,state,fb-survey
66,md,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,10.1059543,0.9418988,1023.9995,state,fb-survey
67,me,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,10.9992961,1.4749351,450.0,state,fb-survey
68,mi,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,15.6180194,0.7033469,2664.0141,state,fb-survey
69,mn,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.689069,1.0214735,1061.8035,state,fb-survey
70,mo,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.5056252,0.9552826,1199.0072,state,fb-survey
71,ms,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.2203977,1.332016,604.5888,state,fb-survey
72,mt,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,11.3645497,1.7640888,323.6822,state,fb-survey
73,nc,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,11.515709,0.7045042,2053.0033,state,fb-survey
74,nd,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,9.9068812,2.3227631,165.4317,state,fb-survey
75,ne,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.9550479,1.6525726,412.9158,state,fb-survey
76,nh,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,10.7065472,1.489347,431.0,state,fb-survey
77,nj,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,11.3606782,0.8620765,1354.9994,state,fb-survey
78,nm,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,15.355218,1.3669169,695.6198,state,fb-survey
79,nv,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,14.5437444,1.5172231,539.9098,state,fb-survey
80,ny,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.4377539,0.5927186,3100.0004,state,fb-survey
81,oh,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,14.3458744,0.7214222,2361.0019,state,fb-survey
82,ok,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,14.5070258,1.1654456,913.1136,state,fb-survey
83,or,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,18.6830319,1.2344242,997.0103,state,fb-survey
84,pa,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.9327267,0.6498937,2666.0018,state,fb-survey
85,ri,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,10.1665176,1.9426774,241.9965,state,fb-survey
86,sc,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.0167506,0.9347614,1210.0004,state,fb-survey
87,sd,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.4223168,2.2087181,238.2061,state,fb-survey
88,tn,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.1687705,0.9657497,1226.0043,state,fb-survey
89,tx,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,11.7867507,0.4783485,4544.0074,state,fb-survey
90,ut,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.008213,1.3380642,632.0363,state,fb-survey
91,va,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,12.0365209,0.7642795,1812.5873,state,fb-survey
92,vt,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,16.2066552,2.5800959,204.0005,state,fb-survey
93,wa,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,14.6936016,0.8742477,1639.9888,state,fb-survey
94,wi,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,14.3737572,0.9836664,1271.9837,state,fb-survey
95,wv,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,13.2689263,1.5324451,490.0503,state,fb-survey
96,wy,smoothed_wdepressed_7d,2021-03-03,2021-03-17,14,18.2278561,3.2173599,143.9931,state,fb-survey
97,ak,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,15.251878,2.0129425,319.0,state,fb-survey
98,al,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,14.6439639,0.9654462,1341.0247,state,fb-survey
99,ar,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,16.8381764,1.2444344,904.2219,state,fb-survey
100,az,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.9296687,0.7519276,1858.2578,state,fb-survey
101,ca,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,12.2742655,0.3685567,7927.0933,state,fb-survey
102,co,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.1760621,0.8083169,1750.9017,state,fb-survey
103,ct,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,7.856628,0.712509,1426.0,state,fb-survey
104,dc,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.2639806,2.797551,147.0,state,fb-survey
105,de,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.4166935,1.636044,434.0,state,fb-survey
106,fl,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,10.5997629,0.3918678,6171.0007,state,fb-survey
107,ga,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.1004723,0.6627063,2246.9773,state,fb-survey
108,hi,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,8.8549741,1.5638791,330.0,state,fb-survey
109,ia,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,12.9918769,0.9431594,1270.754,state,fb-survey
110,id,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,14.1311714,1.3528133,663.0373,state,fb-survey
111,il,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.838957,0.5241558,3799.0001,state,fb-survey
112,in,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.5151808,0.739223,2138.9999,state,fb-survey
113,ks,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,12.2323831,1.0088207,1054.9148,state,fb-survey
114,ky,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,15.3591114,0.9738772,1370.6859,state,fb-survey
115,la,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.3088466,0.952763,1270.9997,state,fb-survey
116,ma,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.4976584,0.8263123,1710.007,state,fb-survey
117,md,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.5648013,0.8200063,1520.9992,state,fb-survey
118,me,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,14.380015,1.3348369,691.0,state,fb-survey
119,mi,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,14.9700385,0.5685371,3938.0144,state,fb-survey
120,mn,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.085052,0.846047,1588.8428,state,fb-survey
121,mo,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,12.1459052,0.7723228,1788.9334,state,fb-survey
122,ms,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,10.9729295,1.0484264,888.7279,state,fb-survey
123,mt,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,10.4503508,1.413103,468.6484,state,fb-survey
124,nc,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.5971618,0.5824537,3022.0043,state,fb-survey
125,nd,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,9.0950424,1.7851316,259.4489,state,fb-survey
126,ne,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.5783523,1.2945957,610.8535,state,fb-survey
127,nh,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,12.6020409,1.2859793,666.0,state,fb-survey
128,nj,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.5404189,0.7005702,2079.9988,state,fb-survey
129,nm,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,14.951121,1.1042638,1042.7895,state,fb-survey
130,nv,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,14.1019314,1.2360041,792.9069,state,fb-survey
131,ny,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,12.6338347,0.4917211,4565.0007,state,fb-survey
132,oh,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,14.6220109,0.593261,3547.0022,state,fb-survey
133,ok,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.916443,0.9395421,1357.1128,state,fb-survey
134,or,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,19.1202372,1.0153568,1500.0156,state,fb-survey
135,pa,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,13.2196731,0.5323541,4048.0023,state,fb-survey
136,ri,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,9.0765723,1.4737066,379.993,state,fb-survey
137,sc,smoothed_wdepressed_7d,2021-03-04,2021-03-17,13,11.8225382,0.7606007,1802.0005,state,fb-survey
