,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wearing_mask,2021-01-01,2021-01-06,5,89.3162393,1.0800669,818.0,state,fb-survey
1,al,smoothed_wearing_mask,2021-01-01,2021-01-06,5,90.4196305,0.4546834,4190.1233,state,fb-survey
2,ar,smoothed_wearing_mask,2021-01-01,2021-01-06,5,91.8326286,0.4974513,3030.9461,state,fb-survey
3,az,smoothed_wearing_mask,2021-01-01,2021-01-06,5,92.6579556,0.3446778,5726.2876,state,fb-survey
4,ca,smoothed_wearing_mask,2021-01-01,2021-01-06,5,96.0353114,0.1209756,26016.2488,state,fb-survey
5,co,smoothed_wearing_mask,2021-01-01,2021-01-06,5,93.9929028,0.3243605,5366.6574,state,fb-survey
6,ct,smoothed_wearing_mask,2021-01-01,2021-01-06,5,97.4299635,0.2470087,4104.0,state,fb-survey
7,dc,smoothed_wearing_mask,2021-01-01,2021-01-06,5,98.6180905,0.5858991,397.0,state,fb-survey
8,de,smoothed_wearing_mask,2021-01-01,2021-01-06,5,96.9188768,0.4828188,1281.0,state,fb-survey
9,fl,smoothed_wearing_mask,2021-01-01,2021-01-06,5,89.7706553,0.2286088,17571.0005,state,fb-survey
10,ga,smoothed_wearing_mask,2021-01-01,2021-01-06,5,87.7301578,0.4098278,6408.9219,state,fb-survey
11,hi,smoothed_wearing_mask,2021-01-01,2021-01-06,5,96.5568862,0.5763022,1001.0,state,fb-survey
12,ia,smoothed_wearing_mask,2021-01-01,2021-01-06,5,89.8256785,0.4976985,3689.5488,state,fb-survey
13,id,smoothed_wearing_mask,2021-01-01,2021-01-06,5,83.6881088,0.814883,2055.7842,state,fb-survey
14,il,smoothed_wearing_mask,2021-01-01,2021-01-06,5,94.5539153,0.2095859,11723.0225,state,fb-survey
15,in,smoothed_wearing_mask,2021-01-01,2021-01-06,5,91.7105214,0.3430762,6458.9986,state,fb-survey
16,ks,smoothed_wearing_mask,2021-01-01,2021-01-06,5,91.0881729,0.5097471,3124.0595,state,fb-survey
17,ky,smoothed_wearing_mask,2021-01-01,2021-01-06,5,93.1996,0.383918,4300.0308,state,fb-survey
18,la,smoothed_wearing_mask,2021-01-01,2021-01-06,5,89.0706726,0.4887543,4075.1813,state,fb-survey
