,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wili,2021-01-01,2021-01-06,5,0.7064144,0.2597328,964.0,state,fb-survey
1,al,smoothed_wili,2021-01-01,2021-01-06,5,2.5123933,0.2369504,5214.1525,state,fb-survey
2,ar,smoothed_wili,2021-01-01,2021-01-06,5,1.4005256,0.1741507,3725.021,state,fb-survey
3,az,smoothed_wili,2021-01-01,2021-01-06,5,1.602379,0.1561577,6893.9579,state,fb-survey
4,ca,smoothed_wili,2021-01-01,2021-01-06,5,1.5720634,0.078888,31788.3352,state,fb-survey
5,co,smoothed_wili,2021-01-01,2021-01-06,5,1.0834121,0.1400763,6288.5923,state,fb-survey
6,ct,smoothed_wili,2021-01-01,2021-01-06,5,0.8365232,0.1260338,4934.0,state,fb-survey
7,dc,smoothed_wili,2021-01-01,2021-01-06,5,0.5559186,0.4046894,474.0,state,fb-survey
8,de,smoothed_wili,2021-01-01,2021-01-06,5,1.8138209,0.4240024,1553.0,state,fb-survey
9,fl,smoothed_wili,2021-01-01,2021-01-06,5,1.1503798,0.0841812,21127.0007,state,fb-survey
10,ga,smoothed_wili,2021-01-01,2021-01-06,5,2.0156911,0.1753224,7965.909,state,fb-survey
11,hi,smoothed_wili,2021-01-01,2021-01-06,5,0.7600411,0.2885713,1183.0,state,fb-survey
12,ia,smoothed_wili,2021-01-01,2021-01-06,5,1.4452003,0.2616468,4404.4487,state,fb-survey
13,id,smoothed_wili,2021-01-01,2021-01-06,5,1.3166395,0.2206069,2409.9002,state,fb-survey
14,il,smoothed_wili,2021-01-01,2021-01-06,5,1.0469143,0.1037525,14202.0222,state,fb-survey
15,in,smoothed_wili,2021-01-01,2021-01-06,5,1.4140541,0.1473126,7830.999,state,fb-survey
16,ks,smoothed_wili,2021-01-01,2021-01-06,5,1.5097633,0.2225429,3779.06,state,fb-survey
17,ky,smoothed_wili,2021-01-01,2021-01-06,5,1.0909731,0.1384537,5259.7147,state,fb-survey
18,la,smoothed_wili,2021-01-01,2021-01-06,5,1.7195677,0.1863721,5133.1803,state,fb-survey
19,ma,smoothed_wili,2021-01-01,2021-01-06,5,1.0314595,0.142677,6483.0195,state,fb-survey
20,md,smoothed_wili,2021-01-01,2021-01-06,5,0.7988809,0.1309823,5441.9965,state,fb-survey
21,me,smoothed_wili,2021-01-01,2021-01-06,5,0.5432204,0.1450371,2400.2234,state,fb-survey
22,mi,smoothed_wili,2021-01-01,2021-01-06,5,1.0558283,0.1172332,13397.062,state,fb-survey
23,mn,smoothed_wili,2021-01-01,2021-01-06,5,0.9133877,0.1492861,5415.8618,state,fb-survey
24,mo,smoothed_wili,2021-01-01,2021-01-06,5,1.184964,0.1438731,6265.8778,state,fb-survey
25,ms,smoothed_wili,2021-01-01,2021-01-06,5,1.9697216,0.2667465,3402.7728,state,fb-survey
26,mt,smoothed_wili,2021-01-01,2021-01-06,5,1.3334787,0.3202665,1617.9551,state,fb-survey
27,nc,smoothed_wili,2021-01-01,2021-01-06,5,1.3032409,0.1120937,12286.0132,state,fb-survey
28,nd,smoothed_wili,2021-01-01,2021-01-06,5,1.4059967,0.9279646,876.3209,state,fb-survey
29,ne,smoothed_wili,2021-01-01,2021-01-06,5,1.0044749,0.228042,2255.7061,state,fb-survey
30,nh,smoothed_wili,2021-01-01,2021-01-06,5,1.0801399,0.2482985,2235.7766,state,fb-survey
31,nj,smoothed_wili,2021-01-01,2021-01-06,5,1.0628478,0.1449535,7755.9968,state,fb-survey
32,nm,smoothed_wili,2021-01-01,2021-01-06,5,1.4839919,0.2673974,3222.1648,state,fb-survey
33,nv,smoothed_wili,2021-01-01,2021-01-06,5,1.456166,0.2867946,2555.3458,state,fb-survey
34,ny,smoothed_wili,2021-01-01,2021-01-06,5,0.906436,0.0922515,17124.002,state,fb-survey
35,oh,smoothed_wili,2021-01-01,2021-01-06,5,1.3576164,0.1144182,14247.0076,state,fb-survey
36,ok,smoothed_wili,2021-01-01,2021-01-06,5,2.133587,0.2471852,5252.1085,state,fb-survey
37,or,smoothed_wili,2021-01-01,2021-01-06,5,0.701804,0.1374102,5083.8668,state,fb-survey
38,pa,smoothed_wili,2021-01-01,2021-01-06,5,1.0651218,0.0881285,15500.0073,state,fb-survey
39,ri,smoothed_wili,2021-01-01,2021-01-06,5,0.8354575,0.2609639,1408.9805,state,fb-survey
40,sc,smoothed_wili,2021-01-01,2021-01-06,5,2.0366507,0.2025616,7032.0025,state,fb-survey
41,sd,smoothed_wili,2021-01-01,2021-01-06,5,1.2408148,0.3390338,1211.4451,state,fb-survey
42,tn,smoothed_wili,2021-01-01,2021-01-06,5,1.736273,0.1925687,7981.2876,state,fb-survey
43,tx,smoothed_wili,2021-01-01,2021-01-06,5,1.7807442,0.095256,24539.0632,state,fb-survey
44,ut,smoothed_wili,2021-01-01,2021-01-06,5,1.5062286,0.2412687,3360.139,state,fb-survey
45,va,smoothed_wili,2021-01-01,2021-01-06,5,1.0585808,0.1050118,9937.3241,state,fb-survey
46,vt,smoothed_wili,2021-01-01,2021-01-06,5,0.7668335,0.2957188,1060.0017,state,fb-survey
47,wa,smoothed_wili,2021-01-01,2021-01-06,5,0.7854361,0.1284652,8468.9558,state,fb-survey
48,wi,smoothed_wili,2021-01-01,2021-01-06,5,0.9881228,0.1411042,6585.9368,state,fb-survey
49,wv,smoothed_wili,2021-01-01,2021-01-06,5,1.8687145,0.4086739,3140.1095,state,fb-survey
50,wy,smoothed_wili,2021-01-01,2021-01-06,5,1.8679532,0.5042561,857.6606,state,fb-survey
51,ak,smoothed_wili,2021-01-02,2021-01-07,5,0.8171635,0.2813494,956.0,state,fb-survey
52,al,smoothed_wili,2021-01-02,2021-01-07,5,2.4842999,0.2381906,5256.1402,state,fb-survey
53,ar,smoothed_wili,2021-01-02,2021-01-07,5,1.6570166,0.1935714,3831.0147,state,fb-survey
54,az,smoothed_wili,2021-01-02,2021-01-07,5,1.6729698,0.1592227,7055.5347,state,fb-survey
55,ca,smoothed_wili,2021-01-02,2021-01-07,5,1.5608907,0.0783613,32353.2547,state,fb-survey
56,co,smoothed_wili,2021-01-02,2021-01-07,5,1.11781,0.1401396,6371.6508,state,fb-survey
57,ct,smoothed_wili,2021-01-02,2021-01-07,5,0.8729337,0.1368059,5059.0,state,fb-survey
58,dc,smoothed_wili,2021-01-02,2021-01-07,5,0.7309247,0.4390985,489.0,state,fb-survey
59,de,smoothed_wili,2021-01-02,2021-01-07,5,1.835967,0.4256954,1583.0,state,fb-survey
60,fl,smoothed_wili,2021-01-02,2021-01-07,5,1.2726571,0.0903169,21654.0012,state,fb-survey
61,ga,smoothed_wili,2021-01-02,2021-01-07,5,1.9863123,0.1680581,8243.9097,state,fb-survey
62,hi,smoothed_wili,2021-01-02,2021-01-07,5,0.7530839,0.2859618,1190.0,state,fb-survey
63,ia,smoothed_wili,2021-01-02,2021-01-07,5,1.5382055,0.2725195,4485.455,state,fb-survey
64,id,smoothed_wili,2021-01-02,2021-01-07,5,1.2970929,0.2178822,2422.0347,state,fb-survey
65,il,smoothed_wili,2021-01-02,2021-01-07,5,1.0169925,0.1001892,14428.9992,state,fb-survey
66,in,smoothed_wili,2021-01-02,2021-01-07,5,1.2398987,0.1380987,7914.9987,state,fb-survey
67,ks,smoothed_wili,2021-01-02,2021-01-07,5,1.8026451,0.2540122,3833.9538,state,fb-survey
68,ky,smoothed_wili,2021-01-02,2021-01-07,5,1.170215,0.1483851,5375.7143,state,fb-survey
69,la,smoothed_wili,2021-01-02,2021-01-07,5,1.7576665,0.1911434,5210.1802,state,fb-survey
70,ma,smoothed_wili,2021-01-02,2021-01-07,5,0.9898579,0.1359022,6676.0195,state,fb-survey
71,md,smoothed_wili,2021-01-02,2021-01-07,5,0.829818,0.1313781,5520.9968,state,fb-survey
72,me,smoothed_wili,2021-01-02,2021-01-07,5,0.746455,0.1868006,2460.2234,state,fb-survey
73,mi,smoothed_wili,2021-01-02,2021-01-07,5,0.9679556,0.1126701,13566.0448,state,fb-survey
74,mn,smoothed_wili,2021-01-02,2021-01-07,5,0.8651697,0.1408868,5417.6212,state,fb-survey
75,mo,smoothed_wili,2021-01-02,2021-01-07,5,1.0939414,0.1371197,6373.8998,state,fb-survey
76,ms,smoothed_wili,2021-01-02,2021-01-07,5,2.0401981,0.2680623,3469.261,state,fb-survey
77,mt,smoothed_wili,2021-01-02,2021-01-07,5,1.5624575,0.34262,1634.9381,state,fb-survey
78,nc,smoothed_wili,2021-01-02,2021-01-07,5,1.3223137,0.111911,12691.0138,state,fb-survey
79,nd,smoothed_wili,2021-01-02,2021-01-07,5,1.3099226,0.9144931,886.2694,state,fb-survey
80,ne,smoothed_wili,2021-01-02,2021-01-07,5,1.1533695,0.2463959,2345.6134,state,fb-survey
81,nh,smoothed_wili,2021-01-02,2021-01-07,5,1.0396824,0.2409199,2274.7766,state,fb-survey
82,nj,smoothed_wili,2021-01-02,2021-01-07,5,1.0046369,0.1352252,7915.9975,state,fb-survey
83,nm,smoothed_wili,2021-01-02,2021-01-07,5,1.1724193,0.239086,3143.6271,state,fb-survey
84,nv,smoothed_wili,2021-01-02,2021-01-07,5,1.2842337,0.2610945,2642.3258,state,fb-survey
85,ny,smoothed_wili,2021-01-02,2021-01-07,5,0.977741,0.0984193,17509.003,state,fb-survey
86,oh,smoothed_wili,2021-01-02,2021-01-07,5,1.3438265,0.1101863,14449.0079,state,fb-survey
87,ok,smoothed_wili,2021-01-02,2021-01-07,5,2.2874605,0.2515255,5392.8656,state,fb-survey
88,or,smoothed_wili,2021-01-02,2021-01-07,5,0.719092,0.130629,5222.8695,state,fb-survey
89,pa,smoothed_wili,2021-01-02,2021-01-07,5,1.1342079,0.0934923,15701.0076,state,fb-survey
90,ri,smoothed_wili,2021-01-02,2021-01-07,5,0.4859696,0.1645452,1430.9805,state,fb-survey
