,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,86.0644215,1.2108704,818.0,state,fb-survey
1,al,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,88.1557057,0.4992502,4189.1233,state,fb-survey
2,ar,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,88.4907135,0.5797698,3029.9461,state,fb-survey
3,az,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,91.3098007,0.372317,5724.2876,state,fb-survey
4,ca,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,95.1822698,0.1328115,25997.2488,state,fb-survey
5,co,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,92.4854252,0.3600305,5361.6574,state,fb-survey
6,ct,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,96.8267,0.2736544,4103.0,state,fb-survey
7,dc,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,97.0779035,0.8453026,397.0,state,fb-survey
8,de,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,95.3390397,0.5892073,1280.0,state,fb-survey
9,fl,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,87.7730216,0.2472238,17559.0005,state,fb-survey
10,ga,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,84.1479833,0.4562884,6406.9219,state,fb-survey
11,hi,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,95.5524802,0.6515727,1001.0,state,fb-survey
12,ia,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,86.0426262,0.5705989,3688.5488,state,fb-survey
13,id,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,80.7517101,0.8699505,2053.7842,state,fb-survey
14,il,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,93.3902089,0.2295379,11716.0225,state,fb-survey
15,in,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,89.1875602,0.3864847,6455.9986,state,fb-survey
16,ks,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,88.5017735,0.5708228,3123.0595,state,fb-survey
17,ky,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,90.6925183,0.4430636,4300.0308,state,fb-survey
18,la,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,86.5752078,0.5343063,4071.1813,state,fb-survey
19,ma,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,95.1319791,0.2921992,5424.014,state,fb-survey
20,md,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,96.493616,0.273687,4516.997,state,fb-survey
21,me,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,93.7322993,0.5355916,2048.0,state,fb-survey
22,mi,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,92.1839032,0.2533316,11227.063,state,fb-survey
23,mn,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,92.6253597,0.3846128,4617.6753,state,fb-survey
24,mo,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,85.096246,0.4978974,5115.9515,state,fb-survey
25,ms,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,87.0444056,0.6566094,2615.6764,state,fb-survey
26,mt,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,84.753845,0.9690615,1375.9957,state,fb-survey
27,nc,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,91.1775754,0.2816697,10139.0121,state,fb-survey
28,nd,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,85.1493554,1.3132902,733.171,state,fb-survey
29,ne,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,87.872966,0.7466148,1911.6865,state,fb-survey
