,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,88.748102,3.0693011,106.0,state,fb-survey
1,al,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,88.2552333,1.6493815,381.0155,state,fb-survey
2,ar,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,81.1033076,2.2832207,293.9873,state,fb-survey
3,az,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,91.8729774,1.0862662,632.7712,state,fb-survey
4,ca,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,95.9336049,0.4001733,2436.0384,state,fb-survey
5,co,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,93.2658705,1.0775255,540.94,state,fb-survey
6,ct,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,95.6987952,1.0435239,378.0,state,fb-survey
7,de,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,96.2313203,1.5980763,142.0073,state,fb-survey
8,fl,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,90.6866867,0.6601565,1938.0005,state,fb-survey
9,ga,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,88.1904544,1.1855532,740.9905,state,fb-survey
10,hi,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,99.5762712,0.6005221,117.0,state,fb-survey
11,ia,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,89.9078505,1.5119286,396.9344,state,fb-survey
12,id,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,78.4560208,2.803857,215.001,state,fb-survey
13,il,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,93.9248687,0.6915886,1193.0006,state,fb-survey
14,in,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,91.2820824,1.1090395,647.0,state,fb-survey
15,ks,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,91.3346332,1.5535037,327.9426,state,fb-survey
16,ky,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,89.4298498,1.4429586,454.0001,state,fb-survey
17,la,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,87.4810558,1.5867053,434.9999,state,fb-survey
18,ma,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,95.8760796,0.8541022,542.002,state,fb-survey
19,md,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,97.6936628,0.6830057,482.9927,state,fb-survey
20,me,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,90.9743992,1.9319075,220.0,state,fb-survey
21,mi,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,92.7568174,0.7180589,1303.0322,state,fb-survey
22,mn,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,91.113205,1.2815725,492.9923,state,fb-survey
23,mo,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,85.0024094,1.4825441,580.0127,state,fb-survey
24,ms,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,87.4408847,2.0187002,269.4821,state,fb-survey
25,mt,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,81.2290116,3.2455684,144.7494,state,fb-survey
26,nc,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,90.2715075,0.9524892,968.0017,state,fb-survey
27,ne,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,80.9887468,3.1153716,158.6411,state,fb-survey
28,nh,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,94.7935602,1.5708866,200.0,state,fb-survey
29,nj,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,97.0266075,0.6442869,694.9996,state,fb-survey
30,nm,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,94.3460136,1.2825479,324.2882,state,fb-survey
31,nv,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,95.6662026,1.3427214,229.9616,state,fb-survey
