,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,1,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,1.8571429,,,hhs,hhs
1,10,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,0.8571429,,,hhs,hhs
2,2,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,5.8571429,,,hhs,hhs
3,3,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,12.2857143,,,hhs,hhs
4,4,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,27.7142857,,,hhs,hhs
5,5,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,7.8571429,,,hhs,hhs
6,6,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,36.5714286,,,hhs,hhs
7,7,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,3.7142857,,,hhs,hhs
8,8,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,0.8571429,,,hhs,hhs
9,9,confirmed_admissions_influenza_1d_7dav,2021-01-01,2021-10-28,300,17.4285714,,,hhs,hhs
10,1,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,2.1428571,,,hhs,hhs
11,10,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,0.7142857,,,hhs,hhs
12,2,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,6.2857143,,,hhs,hhs
13,3,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,11.0,,,hhs,hhs
14,4,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,26.1428571,,,hhs,hhs
15,5,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,8.1428571,,,hhs,hhs
16,6,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,33.0,,,hhs,hhs
17,7,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,4.1428571,,,hhs,hhs
18,8,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,0.8571429,,,hhs,hhs
19,9,confirmed_admissions_influenza_1d_7dav,2021-01-02,2021-10-28,299,13.0,,,hhs,hhs
20,1,confirmed_admissions_influenza_1d_7dav,2021-01-03,2021-10-28,298,2.0,,,hhs,hhs
21,10,confirmed_admissions_influenza_1d_7dav,2021-01-03,2021-10-28,298,0.8571429,,,hhs,hhs
22,2,confirmed_admissions_influenza_1d_7dav,2021-01-03,2021-10-28,298,6.2857143,,,hhs,hhs
23,3,confirmed_admissions_influenza_1d_7dav,2021-01-03,2021-10-28,298,10.7142857,,,hhs,hhs
24,4,confirmed_admissions_influenza_1d_7dav,2021-01-03,2021-10-28,298,26.1428571,,,hhs,hhs
