state,date,admission,maskwearing,delphi_samplesize,maskwearing_stderr,symptom,symptoms_stderr
ak,2021-05-01,6.5714286,1.9480842,571,0.7888428,1.9480842,0.7888428
al,2021-05-01,58.7142857,1.3158639,2675.0471,0.2654989,1.3158639,0.2654989
ar,2021-05-01,36.4285714,1.0854186,1840.2729,0.3258373,1.0854186,0.3258373
az,2021-05-01,75.5714286,0.6820823,4343.6333,0.1234431,0.6820823,0.1234431
ca,2021-05-01,241.4285714,0.6198498,17725.1979,0.0703045,0.6198498,0.0703045
co,2021-05-01,115.1428571,0.8399262,3803.847,0.1708735,0.8399262,0.1708735
ct,2021-05-01,70.7142857,0.7066125,3011,0.1968616,0.7066125,0.1968616
dc,2021-05-01,15.1428571,0,324,0.1633768,0,0.1633768
de,2021-05-01,19.1428571,1.250822,873.0073,0.653316,1.250822,0.653316
fl,2021-05-01,506.8571429,0.8940365,13590.0001,0.091435,0.8940365,0.091435
ga,2021-05-01,195,0.7574885,4809.9553,0.1167172,0.7574885,0.1167172
hi,2021-05-01,6.8571429,0.5817535,862,0.2819916,0.5817535,0.2819916
ia,2021-05-01,30.7142857,0.8942983,2778.697,0.1747548,0.8942983,0.1747548
id,2021-05-01,15,0.6691694,1428.1513,0.2076472,0.6691694,0.2076472
il,2021-05-01,229.4285714,1.0407264,8511.0008,0.1309945,1.0407264,0.1309945
in,2021-05-01,110.2857143,1.454519,4418.0032,0.2195897,1.454519,0.2195897
ks,2021-05-01,29.1428571,1.0623309,2081.0596,0.3972581,1.0623309,0.3972581
ky,2021-05-01,120,0.7979478,2871.4374,0.187034,0.7979478,0.187034
la,2021-05-01,50,1.3120707,2519.9994,0.2681708,1.3120707,0.2681708
ma,2021-05-01,73.7142857,0.6063215,4079.011,0.1795224,0.6063215,0.1795224
md,2021-05-01,124.5714286,0.4591483,3474.9902,0.1259073,0.4591483,0.1259073
me,2021-05-01,14.7142857,0.6160372,1638,0.2366141,0.6160372,0.2366141
mi,2021-05-01,379.2857143,1.1035795,10103.9945,0.1309399,1.1035795,0.1309399
mn,2021-05-01,93.4285714,1.1594696,3645.7969,0.2383861,1.1594696,0.2383861
mo,2021-05-01,70.8571429,1.0823665,3794.8034,0.265845,1.0823665,0.265845
ms,2021-05-01,27.2857143,1.4935089,1698.6011,0.3952006,1.4935089,0.3952006
mt,2021-05-01,14.2857143,0.5371214,1020.602,0.2149577,0.5371214,0.2149577
nc,2021-05-01,122.5714286,0.623951,6211.0064,0.1169262,0.623951,0.1169262
nd,2021-05-01,11.2857143,1.3726277,488.6139,0.4836432,1.3726277,0.4836432
ne,2021-05-01,16,1.0281326,1391.1638,0.2847772,1.0281326,0.2847772
nh,2021-05-01,10.5714286,1.2734558,1322,0.4289584,1.2734558,0.4289584
nj,2021-05-01,170,0.8513494,4864.9979,0.1553272,0.8513494,0.1553272
nm,2021-05-01,23.4285714,1.2454594,1998.1094,0.3345412,1.2454594,0.3345412
nv,2021-05-01,49,0.9900858,1570.8366,0.3138891,0.9900858,0.3138891
ny,2021-05-01,303.1428571,0.5198186,10180.0004,0.0756689,0.5198186,0.0756689
oh,2021-05-01,184.7142857,1.0164404,7991.9988,0.1631626,1.0164404,0.1631626
ok,2021-05-01,37.8571429,1.4952949,2580.0544,0.3217377,1.4952949,0.3217377
or,2021-05-01,36.1428571,0.8842098,3686.1719,0.2379515,0.8842098,0.2379515
pa,2021-05-01,267.1428571,1.3018482,9035.0045,0.1681992,1.3018482,0.1681992
pr,2021-05-01,35.8571429,,,,,
ri,2021-05-01,11.1428571,0.4663211,833.989,0.2648986,0.4663211,0.2648986
sc,2021-05-01,51.5714286,1.082413,3666.0023,0.192117,1.082413,0.192117
sd,2021-05-01,11.1428571,1.9366455,733.8325,0.4798018,1.9366455,0.4798018
tn,2021-05-01,87.1428571,1.3081959,4253.5659,0.2193246,1.3081959,0.2193246
tx,2021-05-01,352.4285714,0.9235624,13303.0219,0.0957566,0.9235624,0.0957566
ut,2021-05-01,22.1428571,0.8614855,1900.409,0.221148,0.8614855,0.221148
va,2021-05-01,83.8571429,0.7042374,6017.8566,0.1232206,0.7042374,0.1232206
vi,2021-05-01,0.2857143,,,,,
vt,2021-05-01,4.5714286,0.2499581,710.0008,0.159884,0.2499581,0.159884
wa,2021-05-01,75,0.7864474,5691.9723,0.1415541,0.7864474,0.1415541
wi,2021-05-01,86.1428571,1.0486405,4230.005,0.2320393,1.0486405,0.2320393
wv,2021-05-01,30,1.0906904,1646.1057,0.2897958,1.0906904,0.2897958
wy,2021-05-01,5.8571429,0.7695485,493.7491,0.3779255,0.7695485,0.3779255
ak,2021-05-02,6.4285714,1.8884695,582,0.7867853,1.8884695,0.7867853
al,2021-05-02,64.2857143,1.0125332,2752.0463,0.186242,1.0125332,0.186242
ar,2021-05-02,35.5714286,0.9940712,1906.1933,0.3008633,0.9940712,0.3008633
az,2021-05-02,74.8571429,0.8224905,4435.7577,0.1730379,0.8224905,0.1730379
ca,2021-05-02,236.8571429,0.5931254,17999.7785,0.0640946,0.5931254,0.0640946
co,2021-05-02,119.4285714,0.8395515,3934.8756,0.1621218,0.8395515,0.1621218
ct,2021-05-02,67.1428571,0.7618109,3039,0.2034882,0.7618109,0.2034882
dc,2021-05-02,14.2857143,0,341,0.1554691,0,0.1554691
de,2021-05-02,19.2857143,1.2446814,890,0.6518326,1.2446814,0.6518326
fl,2021-05-02,492.5714286,0.8532202,13903.9999,0.0895316,0.8532202,0.0895316
ga,2021-05-02,194.8571429,0.6873843,4937.9563,0.1059739,0.6873843,0.1059739
hi,2021-05-02,6.4285714,0.2194246,886,0.1874627,0.2194246,0.1874627
ia,2021-05-02,32.8571429,0.7923656,2765.7093,0.1601609,0.7923656,0.1601609
id,2021-05-02,14.8571429,0.7642539,1394.1514,0.2340031,0.7642539,0.2340031
il,2021-05-02,230.1428571,1.1109443,8597.0008,0.1349208,1.1109443,0.1349208
in,2021-05-02,111,1.530477,4551.0033,0.2322296,1.530477,0.2322296
ks,2021-05-02,30.7142857,1.0195817,2149.1461,0.3949533,1.0195817,0.3949533
ky,2021-05-02,121.8571429,0.8602906,2895.7527,0.1905687,0.8602906,0.1905687
la,2021-05-02,51,1.3281012,2578.9994,0.2664868,1.3281012,0.2664868
ma,2021-05-02,69.5714286,0.6235568,4143.009,0.1816107,0.6235568,0.1816107
md,2021-05-02,121.7142857,0.4916917,3494.9977,0.1651239,0.4916917,0.1651239
me,2021-05-02,14.2857143,0.5192913,1672,0.2018729,0.5192913,0.2018729
mi,2021-05-02,370,1.1452951,10201.9939,0.1310781,1.1452951,0.1310781
mn,2021-05-02,89.7142857,1.0381025,3639.6889,0.2111765,1.0381025,0.2111765
mo,2021-05-02,70.1428571,0.9320137,3836.8828,0.2468313,0.9320137,0.2468313
ms,2021-05-02,29,1.3755175,1771.3557,0.3858825,1.3755175,0.3858825
mt,2021-05-02,14.7142857,0.5413086,1011.6009,0.215284,0.5413086,0.215284
nc,2021-05-02,122.5714286,0.6063735,6382.0066,0.1125258,0.6063735,0.1125258
nd,2021-05-02,11.4285714,1.3431597,503.4858,0.4737977,1.3431597,0.4737977
ne,2021-05-02,15.4285714,0.8958161,1415.0703,0.2469713,0.8958161,0.2469713
nh,2021-05-02,11.1428571,1.2954295,1373,0.4389025,1.2954295,0.4389025
nj,2021-05-02,168,0.9308552,4970.998,0.1601233,0.9308552,0.1601233
nm,2021-05-02,23.2857143,1.1656669,2034.0525,0.3267205,1.1656669,0.3267205
nv,2021-05-02,49,0.8985308,1611.8269,0.3002855,0.8985308,0.3002855
ny,2021-05-02,300.4285714,0.5109865,10478.0008,0.0680427,0.5109865,0.0680427
oh,2021-05-02,186.4285714,1.1772625,8050.999,0.2144234,1.1772625,0.2144234
ok,2021-05-02,36.1428571,1.0501229,2659.9981,0.250019,1.0501229,0.250019
or,2021-05-02,37.4285714,0.913425,3712.601,0.2393719,0.913425,0.2393719
pa,2021-05-02,270,1.2737103,9226.0053,0.1632664,1.2737103,0.1632664
pr,2021-05-02,34.4285714,,,,,
ri,2021-05-02,9.2857143,0.3566427,839.991,0.2253909,0.3566427,0.2253909
sc,2021-05-02,50,1.1112203,3744.002,0.2006573,1.1112203,0.2006573
sd,2021-05-02,12,1.7466429,754.1136,0.4418483,1.7466429,0.4418483
tn,2021-05-02,88.1428571,1.2314561,4354.2511,0.2166565,1.2314561,0.2166565
tx,2021-05-02,349.7142857,0.9516444,13411.0243,0.0969262,0.9516444,0.0969262
ut,2021-05-02,24,0.9970265,1921.3136,0.2308944,0.9970265,0.2308944
va,2021-05-02,84.5714286,0.7014407,6138.1428,0.1179594,0.7014407,0.1179594
vi,2021-05-02,0.1428571,,,,,
vt,2021-05-02,3.8571429,0.323266,709.001,0.1762147,0.323266,0.1762147
wa,2021-05-02,74.7142857,0.6859133,5777.9722,0.1318752,0.6859133,0.1318752
wi,2021-05-02,84.1428571,0.9212109,4312.0054,0.2012652,0.9212109,0.2012652
wv,2021-05-02,31.8571429,1.1947923,1663.0559,0.2959693,1.1947923,0.2959693
wy,2021-05-02,6,0.5440995,479.754,0.2992888,0.5440995,0.2992888
ak,2021-05-03,6.2857143,1.7839364,555,0.8004953,1.7839364,0.8004953
al,2021-05-03,64.4285714,0.7619566,2635.0381,0.1507943,0.7619566,0.1507943
ar,2021-05-03,36.4285714,0.8934369,1846.1937,0.2708646,0.8934369,0.2708646
az,2021-05-03,72.2857143,0.7652642,4335.4268,0.1698873,0.7652642,0.1698873
ca,2021-05-03,232.8571429,0.648483,17428.7757,0.0707034,0.648483,0.0707034
co,2021-05-03,117.7142857,0.9533417,3858.9016,0.1813232,0.9533417,0.1813232
ct,2021-05-03,66.1428571,0.7311557,2875,0.2029244,0.7311557,0.2029244
